,player_id,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1617,daniema01,2011-12,31,BOS,NBA,SG,38,0,12.7,1.4,3.8,.364,0.0,0.3,.000,1.4,3.5,.391,.364,0.4,0.6,.739,0.4,1.3,1.7,1.2,0.6,0.2,0.7,0.9,3.2
1618,daniema01,2012-13,32,MIL,NBA,SF,59,33,18.4,2.2,5.9,.376,0.3,1.2,.278,1.9,4.7,.401,.405,0.7,0.9,.741,0.8,1.7,2.5,1.1,0.9,0.2,0.8,1.3,5.5
1619,danietr01,2013-14,22,HOU,NBA,SG,5,1,15.0,3.0,6.2,.484,2.4,5.0,.480,0.6,1.2,.500,.677,0.0,0.0,,0.0,0.8,0.8,1.0,0.0,0.0,0.6,1.2,8.4
1620,danietr01,2014-15,23,TOT,NBA,SG,47,0,8.4,1.3,3.5,.370,0.9,2.5,.364,0.4,1.0,.383,.500,0.2,0.3,.846,0.2,0.5,0.7,0.5,0.1,0.0,0.4,0.9,3.7
1621,danietr01,2015-16,24,CHO,NBA,SG,43,0,11.1,2.1,4.3,.476,1.4,2.8,.484,0.7,1.5,.462,.634,0.1,0.2,.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6
1622,danietr01,2016-17,25,MEM,NBA,SG,43,3,17.3,2.9,7.4,.388,2.0,5.2,.392,0.8,2.2,.379,.525,0.8,1.0,.818,0.3,1.0,1.3,0.7,0.3,0.0,0.6,1.4,8.6
1623,datomlu01,2013-14,26,DET,NBA,SF,34,0,7.0,1.0,2.9,.351,0.2,1.1,.179,0.8,1.7,.466,.387,0.2,0.3,.800,0.4,0.9,1.4,0.3,0.2,0.0,0.3,0.6,2.4
1624,datomlu01,2014-15,27,TOT,NBA,SF,21,1,10.0,2.0,4.2,.483,0.9,1.9,.450,1.2,2.3,.510,.584,0.0,0.0,1.000,0.1,1.2,1.4,0.4,0.1,0.3,0.4,0.7,5.0
1625,davidje01,2007-08,23,CHA,NBA,SF,38,2,8.5,1.3,3.3,.408,0.0,0.0,,1.3,3.3,.408,.408,0.5,0.7,.643,0.6,1.1,1.6,0.3,0.2,0.4,0.4,1.2,3.2
1626,davidje01,2008-09,24,GSW,NBA,SF,14,0,7.9,1.2,2.5,.486,0.0,0.0,,1.2,2.5,.486,.486,0.6,1.2,.471,0.7,1.7,2.4,0.1,0.1,0.2,0.4,0.9,3.0
1627,daviebr01,2013-14,22,PHI,NBA,PF,51,0,11.3,1.1,2.5,.422,0.0,0.2,.200,1.0,2.3,.441,.430,0.7,1.0,.642,0.7,1.4,2.1,0.5,0.5,0.2,0.7,1.8,2.8
1628,daviebr01,2014-15,23,TOT,NBA,PF,27,6,15.7,2.0,5.1,.401,0.3,1.3,.235,1.7,3.8,.456,.431,0.9,1.4,.649,1.4,1.7,3.1,1.1,0.7,0.3,1.1,2.2,5.3
1629,davisan02,2012-13,19,NOH,NBA,PF,64,60,28.8,5.5,10.6,.516,0.0,0.1,.000,5.5,10.5,.521,.516,2.6,3.5,.751,2.6,5.6,8.2,1.0,1.2,1.8,1.4,2.5,13.5
1630,davisan02,2013-14,20,NOP,NBA,PF,67,66,35.2,7.8,15.0,.519,0.0,0.1,.222,7.8,14.9,.522,.520,5.2,6.6,.791,3.1,7.0,10.0,1.6,1.3,2.8,1.6,3.0,20.8
1631,davisan02,2014-15,21,NOP,NBA,PF,68,68,36.1,9.4,17.6,.535,0.0,0.2,.083,9.4,17.5,.540,.536,5.5,6.8,.805,2.5,7.7,10.2,2.2,1.5,2.9,1.4,2.1,24.4
1632,davisan02,2015-16,22,NOP,NBA,C,61,61,35.5,9.2,18.6,.493,0.6,1.8,.324,8.6,16.9,.511,.508,5.3,7.0,.758,2.1,8.1,10.3,1.9,1.3,2.0,2.0,2.4,24.3
1633,davisan02,2016-17,23,NOP,NBA,C,53,53,36.4,10.2,20.2,.503,0.5,1.6,.306,9.7,18.6,.520,.515,6.9,8.6,.801,2.3,9.7,12.0,2.2,1.3,2.5,2.6,2.4,27.7
1634,davisan01,1993-94,25,IND,NBA,PF,81,4,21.4,2.7,5.2,.508,0.0,0.0,.000,2.7,5.2,.509,.508,2.4,3.7,.642,2.3,3.9,6.2,0.7,0.6,1.0,1.3,2.3,7.7
1635,davisan01,1994-95,26,IND,NBA,PF,44,1,23.4,2.5,5.6,.445,0.0,0.0,,2.5,5.6,.445,.445,2.7,4.0,.672,2.4,4.0,6.4,0.6,0.4,0.7,1.5,3.0,7.6
1636,davisan01,1995-96,27,IND,NBA,PF,82,14,25.5,2.9,5.9,.490,0.0,0.0,.500,2.9,5.9,.490,.491,3.0,4.2,.713,2.3,3.8,6.1,0.5,0.4,0.8,1.1,3.0,8.8
1637,davisan01,1996-97,28,IND,NBA,PF,82,28,28.5,3.8,7.8,.480,0.0,0.2,.071,3.7,7.6,.490,.481,2.9,4.4,.666,2.3,5.0,7.3,0.8,0.5,1.0,1.7,3.2,10.5
1638,davisan01,1997-98,29,IND,NBA,PF,82,12,26.7,3.1,6.4,.481,0.0,0.0,.000,3.1,6.4,.484,.481,3.4,4.9,.696,2.3,4.5,6.8,0.7,0.5,0.9,1.3,2.9,9.6
1639,davisan01,1998-99,30,IND,NBA,PF,49,1,25.9,3.3,7.1,.471,0.0,0.0,,3.3,7.1,.471,.471,2.8,3.9,.703,2.4,4.7,7.0,0.7,0.4,0.9,1.0,2.8,9.4
1640,davisan01,1999-00,31,TOR,NBA,C,79,78,31.4,4.0,9.0,.440,0.0,0.0,,4.0,9.0,.440,.440,3.6,4.7,.765,3.0,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5
1641,davisan01,2000-01,32,TOR,NBA,C,78,77,35.0,4.8,11.1,.433,0.0,0.0,.000,4.8,11.1,.434,.433,4.1,5.4,.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7
1642,davisan01,2001-02,33,TOR,NBA,PF,77,77,38.7,5.3,12.5,.426,0.0,0.0,.000,5.3,12.5,.426,.426,3.8,4.6,.818,3.3,6.3,9.6,2.0,0.7,1.1,2.1,2.9,14.5
1643,davisan01,2002-03,34,TOR,NBA,C,53,52,35.7,4.9,12.1,.407,0.0,0.0,,4.9,12.1,.407,.407,4.1,5.3,.771,2.5,5.8,8.2,2.5,0.4,1.2,2.2,2.8,13.9
1644,davisan01,2003-04,35,TOT,NBA,C,80,79,32.1,3.3,8.3,.403,0.0,0.0,,3.3,8.3,.403,.403,2.2,2.9,.765,2.6,5.8,8.4,1.7,0.5,0.8,1.4,2.6,8.9
1645,davisan01,2004-05,36,CHI,NBA,PF,72,62,25.6,2.7,5.8,.461,0.0,0.0,,2.7,5.8,.461,.461,1.6,2.1,.757,2.1,3.8,5.9,1.1,0.4,0.6,1.3,2.0,7.0
1646,davisan01,2005-06,37,TOT,NBA,PF-C,44,39,21.4,1.9,4.3,.432,0.0,0.0,.000,1.9,4.3,.434,.432,1.2,1.8,.642,2.0,2.7,4.7,0.5,0.5,0.2,1.2,2.8,4.9
1647,davisba01,1999-00,20,CHH,NBA,PG,82,0,18.6,2.2,5.3,.420,0.3,1.4,.225,1.9,3.9,.488,.449,1.2,1.9,.634,0.6,1.4,2.0,3.8,1.2,0.2,1.7,2.5,5.9
1648,davisba01,2000-01,21,CHH,NBA,PG,82,82,38.9,5.0,11.7,.427,1.0,3.3,.310,4.0,8.3,.474,.472,2.8,4.1,.677,1.6,3.4,5.0,7.3,2.1,0.4,2.8,3.3,13.8
1649,davisba01,2001-02,22,CHH,NBA,PG,82,82,40.5,6.8,16.4,.417,2.1,5.8,.356,4.7,10.5,.451,.480,2.4,4.1,.580,1.1,3.1,4.3,8.5,2.1,0.6,3.0,2.9,18.1
1650,davisba01,2002-03,23,NOH,NBA,PG,50,47,37.8,6.6,16.0,.416,2.0,5.7,.350,4.7,10.3,.452,.478,1.9,2.6,.710,1.1,2.6,3.7,6.4,1.8,0.4,2.8,3.0,17.1
1651,davisba01,2003-04,24,NOH,NBA,PG,67,66,40.1,8.3,20.9,.395,2.8,8.7,.321,5.5,12.2,.448,.462,3.5,5.3,.673,1.0,3.3,4.3,7.5,2.4,0.4,3.2,2.7,22.9
1652,davisba01,2004-05,25,TOT,NBA,PG,46,32,34.4,6.3,16.3,.387,2.6,7.7,.333,3.8,8.7,.435,.465,4.0,5.3,.761,0.7,3.1,3.8,7.9,1.8,0.3,2.8,2.7,19.2
1653,davisba01,2005-06,26,GSW,NBA,PG,54,48,36.5,6.2,15.9,.389,1.9,6.0,.315,4.3,9.9,.434,.448,3.6,5.4,.675,0.8,3.5,4.4,8.9,1.6,0.3,2.9,3.1,17.9
1654,davisba01,2006-07,27,GSW,NBA,PG,63,62,35.3,7.2,16.3,.439,1.3,4.4,.304,5.8,11.9,.489,.480,4.4,5.9,.745,0.8,3.6,4.4,8.1,2.1,0.5,3.1,2.9,20.1
1655,davisba01,2007-08,28,GSW,NBA,PG,82,82,39.0,7.9,18.6,.426,2.1,6.4,.330,5.8,12.2,.477,.483,3.9,5.2,.750,1.2,3.5,4.7,7.6,2.3,0.5,2.8,3.0,21.8
1656,davisba01,2008-09,29,LAC,NBA,PG,65,60,34.6,5.5,14.8,.370,1.5,5.0,.302,3.9,9.7,.406,.422,2.4,3.2,.757,0.7,3.0,3.7,7.7,1.7,0.5,3.0,3.0,14.9
1657,davisba01,2009-10,30,LAC,NBA,PG,75,73,33.6,5.5,13.5,.406,1.1,3.9,.277,4.4,9.6,.459,.446,3.2,3.9,.821,0.7,2.9,3.5,8.0,1.7,0.6,2.8,2.8,15.3
1658,davisba01,2010-11,31,TOT,NBA,PG,58,44,28.4,5.0,11.9,.417,1.4,4.1,.339,3.6,7.8,.458,.475,1.7,2.3,.771,0.6,2.1,2.7,6.7,1.3,0.5,2.5,2.5,13.1
1659,davisba01,2011-12,32,NYK,NBA,PG,29,14,20.5,2.3,6.3,.370,0.9,2.9,.306,1.4,3.4,.424,.440,0.6,0.8,.667,0.4,1.5,1.9,4.7,1.2,0.1,2.6,2.1,6.1
